ID,FAB,PRODUCT,CATEGORY,SUBCATEGORY,TYPE
981024284,FAB1,6PZ CALAVERA       A,OTROS,HALLOWEEN,SEASONS
157612,FAB2,RG 36/30GR MAZAPAN AZTECA,CANDY,REGIONAL,REGULAR
46571,FAB3,PALETA CALABACITA AGRIDULCE 30 PZAS.,SPICY,SPICY,REGULAR
743164,FAB3,DRAGONZITOS 300PZ DRAGONZITOS 300PZ,SPICY,SPICY,REGULAR
225218,FAB3,MOZTRITOS COLGANTES,SPICY,HALLOWEEN,SEASONS
929296,FAB4,NIKOLO 36PZ/21GR DE $83 A,CHOCOLATE,CHOCOLATE,REGULAR
980027031,FAB4,BON O BON FRESA / LECHE 30PZ,OTROS,MOTHER'S DAY,SEASONS
980029316,FAB4,BUTTER TOFFEES CHOCO CAFE   600GR,CANDY,CHEWY CARAMEL,REGULAR
980032173,FAB4,ALFAJOR BON O BON 351 GRAMOS,CHOCOLATE,VALENTINE'S DAY-CHOCOLATE,SEASONS
980038001,FAB4,BON O BON RED VELVET 450G,OTROS,MOTHER'S DAY,SEASONS
981001471,FAB4,BON O BON 12 DESEOS 450G,CHOCOLATE,CHRISTMAS-CHOCOLATE,SEASONS
981011205,FAB4,BON O BON 12 DESEOS C&C 30 PIEZAS,CHOCOLATE,CHRISTMAS-CHOCOLATE,SEASONS
981019938,FAB4,450GR BON O BON CHOCOFRESA,CHOCOLATE,MOTHER'S DAY,SEASONS
981001471,FAB4,BON O BON NAVIDAD 3O PIEZAS,CHOCOLATE,CHRISTMAS-CHOCOLATE,SEASONS
980007019,FAB5,600GR GALLETA CASERA ORIGINAL DE $199,OTROS,CHRISTMAS-COOKIES,SEASONS
980025061,FAB6,MANGO ENCHILADO DESHIDRATADO 640G,SPICY,SPICY,REGULAR
981014929,FAB7,680G FLIPZ CHOCOLATE PRETZEL CUBIERTO,CHOCOLATE,CHOCOLATE- COVERED,REGULAR
22515,FAB8,50PZ PALETA DE TAMARINDO ENCHILADO,SPICY,SPICY,REGULAR
322283,FAB8,TAMARRICO 100 PZAS,SPICY,REGIONAL,REGULAR
740434,FAB8,BANDERILLA CON CHILE 50 PIEZAS,SPICY,SPICY,REGULAR
740448,FAB8,TARUGUITO CON CHILE 100 PZ,SPICY,REGIONAL,REGULAR
98887,FAB8,BANDERILLA C AZUCAR 50 PIEZAS,CANDY,REGIONAL,REGULAR
980013904,FAB9,PASTELITO LATTE ORIGINAL $69 A,CHOCOLATE,CHOCOLATE- COVERED,REGULAR
980013905,FAB9,PASTELITO LATTE FRESA,CHOCOLATE,CHOCOLATE- COVERED,REGULAR
980019223,FAB9,BOMBONETES 660 GR,OTROS,SEASON- SPRING/SUMMER,SEASONS
