CORTE,ID,ANIO,MES,FECHA,VALOR,UNIDADES,VOLUMEN
TN,981005567,2020,1,01/01/2020,"$2,026,034","18,396","18,396"
TN,265754,2020,1,01/01/2020,"$622,827","6,346","6,346"
TN,980017513,2020,1,01/01/2020,"$276,840","2,805","2,805"
TN,981008733,2020,1,01/01/2020,"$5,709,468","43,632","43,632"
TN,980015450,2020,1,01/01/2020,"$25,396",227,227
TN,980012758,2020,1,01/01/2020,"$453,116","3,269","3,269"
TN,980025606,2020,1,01/01/2020,"$1,861,765","13,131","13,131"
TN,980016157,2020,1,01/01/2020,"$276,620","2,795","2,795"
TN,222936,2020,1,01/01/2020,"$741,528","4,403","4,403"
TN,980007942,2020,1,01/01/2020,"$161,224","1,323","1,323"
TN,980007940,2020,1,01/01/2020,"$70,179",437,437
TN,981005567,2020,2,01/02/2020,"$1,751,901","14,443","14,443"
TN,265754,2020,2,01/02/2020,"$750,650","7,621","7,621"
TN,980017513,2020,2,01/02/2020,"$370,870","3,746","3,746"
TN,981008733,2020,2,01/02/2020,"$4,758,421","36,811","36,811"
TN,980015450,2020,2,01/02/2020,"$26,908",243,243
TN,980012758,2020,2,01/02/2020,"$181,763","1,338","1,338"
TN,980025606,2020,2,01/02/2020,"$1,764,255","12,295","12,295"
TN,980016157,2020,2,01/02/2020,"$236,637","2,401","2,401"
TN,222936,2020,2,01/02/2020,"$598,792","3,556","3,556"
TN,980007942,2020,2,01/02/2020,"$98,564",779,779
TN,980007940,2020,2,01/02/2020,"$67,743",418,418
TN,981005567,2020,3,01/03/2020,"$1,446,891","12,459","12,459"
TN,265754,2020,3,01/03/2020,"$557,953","5,692","5,692"
TN,980017513,2020,3,01/03/2020,"$145,913","1,476","1,476"
TN,981008733,2020,3,01/03/2020,"$3,146,461","24,101","24,101"
TN,980015450,2020,3,01/03/2020,"$5,357",47,47
TN,980012758,2020,3,01/03/2020,"$33,728",918,918
TN,980025606,2020,3,01/03/2020,"$1,459,452","10,302","10,302"
TN,980016157,2020,3,01/03/2020,"$190,239","1,968","1,968"
TN,222936,2020,3,01/03/2020,"$401,437","2,439","2,439"
TN,980007942,2020,3,01/03/2020,"$45,966",346,346
TN,980007940,2020,3,01/03/2020,"$30,798",176,176
TN,981005567,2020,4,01/04/2020,"$1,455,877","13,925","13,925"
TN,265754,2020,4,01/04/2020,"$350,334","3,673","3,673"
TN,980017513,2020,4,01/04/2020,"$170,891","1,765","1,765"
TN,981008733,2020,4,01/04/2020,"$3,941,481","37,951","37,951"
TN,980015450,2020,4,01/04/2020,"$3,117",26,26
TN,980012758,2020,4,01/04/2020,$69,1,1
TN,980025606,2020,4,01/04/2020,"$1,647,415","13,099","13,099"
TN,980016157,2020,4,01/04/2020,"$105,934","1,156","1,156"
TN,222936,2020,4,01/04/2020,"$221,093","1,339","1,339"
TN,980007942,2020,4,01/04/2020,"$31,293",456,456
TN,980007940,2020,4,01/04/2020,"$21,435",124,124
TN,981005567,2020,5,01/05/2020,"$1,332,316","11,361","11,361"
TN,265754,2020,5,01/05/2020,"$340,651","3,456","3,456"
TN,980017513,2020,5,01/05/2020,"$150,702","1,577","1,577"
TN,981008733,2020,5,01/05/2020,"$2,748,766","23,266","23,266"
TN,980015450,2020,5,01/05/2020,"$1,240",10,10
TN,980012758,2020,5,01/05/2020,$19,1,1
TN,980025606,2020,5,01/05/2020,"$1,216,538","8,471","8,471"
TN,980016157,2020,5,01/05/2020,"$125,545","1,355","1,355"
TN,222936,2020,5,01/05/2020,"$245,241","1,462","1,462"
TN,980007942,2020,5,01/05/2020,"$9,266",295,295
TN,980007940,2020,5,01/05/2020,"$11,903",300,300
TN,981005567,2020,6,01/06/2020,"$1,397,837","10,929","10,929"
TN,265754,2020,6,01/06/2020,"$377,956","3,802","3,802"
TN,980017513,2020,6,01/06/2020,"$12,069",203,203
TN,981008733,2020,6,01/06/2020,"$3,245,226","31,914","31,914"
TN,980015450,2020,6,01/06/2020,$147,3,3
TN,980025606,2020,6,01/06/2020,"$1,321,600","9,293","9,293"
TN,980016157,2020,6,01/06/2020,"$126,136","1,346","1,346"
TN,222936,2020,6,01/06/2020,"$457,412","4,666","4,666"
TN,980007942,2020,6,01/06/2020,$24,1,1
TN,980007940,2020,6,01/06/2020,$33,1,1
TN,981005567,2020,7,01/07/2020,"$1,689,054","15,214","15,214"
TN,265754,2020,7,01/07/2020,"$415,058","4,018","4,018"
TN,980017513,2020,7,01/07/2020,"$1,309",40,40
TN,981008733,2020,7,01/07/2020,"$2,977,432","23,233","23,233"
TN,980025606,2020,7,01/07/2020,"$1,695,749","14,704","14,704"
TN,980016157,2020,7,01/07/2020,"$390,847","7,715","7,715"
TN,222936,2020,7,01/07/2020,"$390,950","4,519","4,519"
TN,980007942,2020,7,01/07/2020,$286,2,2
TN,981005567,2020,8,01/08/2020,"$1,601,485","14,775","14,775"
TN,265754,2020,8,01/08/2020,"$619,411","5,996","5,996"
TN,980017513,2020,8,01/08/2020,$673,9,9
TN,981008733,2020,8,01/08/2020,"$2,536,155","20,314","20,314"
TN,980025606,2020,8,01/08/2020,"$1,839,245","15,458","15,458"
TN,980016157,2020,8,01/08/2020,"$95,526","1,923","1,923"
TN,222936,2020,8,01/08/2020,"$150,542","1,722","1,722"
TN,981005567,2020,9,01/09/2020,"$1,221,245","10,414","10,414"
TN,265754,2020,9,01/09/2020,"$854,541","8,541","8,541"
TN,980017513,2020,9,01/09/2020,$297,3,3
