ANIO,MES,VALOR
2020,1,4858857.0
2020,2,5132358.0
2020,3,4198102.0
2020,4,3204515.0
2020,5,3039918.0
2020,6,3324954.0
2020,7,3638141.0
2020,8,4430420.0
2020,9,4625587.0
2020,10,5668168.0
2020,11,5316451.0
2020,12,6809912.0
2021,1,5422372.0
2021,2,5429364.0
2021,3,6027902.0
2021,4,8142760.0
2021,5,5460374.0
2021,6,6071846.0
2021,7,6155754.0
2021,8,6299271.0
2021,9,7605984.0
2021,10,7515330.0
2021,11,8084269.0
2021,12,10463067.0
2022,1,7328408.0
2022,2,8558898.0
2022,3,9907530.0
2022,4,11753574.0
2022,5,8341312.0
2022,6,8606155.0
2022,7,8711860.0
2022,8,10569936.0
2022,9,12891999.0
2022,10,14487509.0
2022,11,12341796.0
2022,12,13131503.0
2023,1,10761315.0
2023,2,11487131.0
2023,3,11061376.0
2023,4,14813748.0
2023,5,9790333.0
2023,6,8772917.0
2023,7,8723256.0
2023,8,11042483.0
2023,9,12556878.0
2023,10,15559288.0
2023,11,12625333.0
2023,12,13262851.0
2024,1,11000601.0
2024,2,11698660.0
2024,3,10656446.0
2024,4,17718154.0
2024,5,9142011.0
2024,6,8437044.0
2024,7,8440807.0
2024,8,11531777.0
2024,9,12177950.0
2024,10,15937715.0
2024,11,11940147.0
2024,12,14424084.0
